c_name_chn,sequence=key,c_text_title,c_assoc_desc_chn,c_assoc_name_chn,c_assoc_id=person,c_assoc_count,c_assoc_year,c_assoc_nh_year,c_text_title_chn,c_textid,c_pages,notes,
寄件人,序号,文本标题,通讯类型描述,收件人,收件人id,通讯次数,年份,年号,文本集合,文本集合id,页数,备注,
張邦奇,1,與余子華,致書Y,余本,128347,6,,,環碧堂集,23911,1.1a,,
張邦奇,2,寄余子華,致書Y,余本,128347,,,,環碧堂集,23911,1,,
張邦奇,3,又,致書Y,余本,128347,,,,環碧堂集,23911,1,,
張邦奇,4,與余子華,致書Y,余本,128347,,,,環碧堂集,23911,1,,
張邦奇,5,與余太史,致書Y,余本,128347,,,,環碧堂集,23911,1,,
張邦奇,6,與子華,致書Y,余本,128347,,,,環碧堂集,23911,1,,
張邦奇,7,寄李嵩渚,致書Y,李濂,128014,6,,,環碧堂集,23911,1,,
張邦奇,8,寄嵩渚,致書Y,李濂,128014,,,,環碧堂集,23911,1,,
張邦奇,9,又,致書Y,李濂,128014,,,,環碧堂集,23911,1,,
張邦奇,10,復嵩渚,答Y書,李濂,128014,,,,環碧堂集,23911,1,,
張邦奇,11,與嵩渚,致書Y,李濂,128014,,,,環碧堂集,23911,1,,
張邦奇,12,與貳守嵩渚,致書Y,李濂,128014,,,,環碧堂集,23911,1,,
張邦奇,13,賀松臯太宰,致書Y,許讃,130149,2,,,環碧堂集,23911,1,,
張邦奇,14,復介溪宗伯,答Y書,嚴嵩,125411,2,,,環碧堂集,23911,1,,
張邦奇,15,又,致書Y,嚴嵩,125411,,,,環碧堂集,23911,1,,
張邦奇,16,復霍渭厓,答Y書,霍韜,68236,1,,,環碧堂集,23911,1,,
張邦奇,17,答張净峰廵撫,答Y書,張岳,34663,2,,,環碧堂集,23911,1,,
張邦奇,18,又寄張净峰,致書Y,張岳,34663,,,,環碧堂集,23911,1,pkb: note 净 should be 淨 ,
張邦奇,19,答唐荆川,答Y書,唐順之,34219,2,,,環碧堂集,23911,1,,
張邦奇,20,又,答Y書,唐順之,34219,,,,環碧堂集,23911,1,,
張邦奇,21,上整菴先生,致書Y,羅欽順,33645,,,,環碧堂集,23911,1,,
張邦奇,22,復松臯,答Y書,許讃,130149,,,,環碧堂集,23911,1,,
張邦奇,23,與毛東塘大司馬,致書Y,毛伯溫,68282,,,,環碧堂集,23911,1,,
張邦奇,24,答徐飬齋,答Y書,徐問,30618,2,,,環碧堂集,23911,1,,
張邦奇,25,答勉翁老先生,答Y書,勉翁老先生,XXX,,,,環碧堂集,23911,1,,
張邦奇,26,答謝葉三岡賀壽佳句,答Y書,葉三岡,XXX,,,,環碧堂集,23911,1,,
張邦奇,27,答陳方伯,答Y書,XXX,,,,,環碧堂集,23911,1,,
張邦奇,28,答王同埜,答Y書,王同埜,XXX,,,,環碧堂集,23911,1,,
張邦奇,29,與温江學邵繼愚秀才,致書Y,邵繼愚,XXX,,,,環碧堂集,23911,1,,
張邦奇,30,復高生,答Y書,高生,XXX,,,,環碧堂集,23911,1,,
張邦奇,31,答東沙叔柬,答Y書,東沙叔,XXX,2,,,環碧堂集,23911,1,,
張邦奇,32,答唐子中,答Y書,唐子中,XXX,,,,環碧堂集,23911,1,,
張邦奇,33,答陳惟逹,答Y書,陳惟逹,XXX,,,,環碧堂集,23911,1,,
張邦奇,34,寄東沙叔,致書Y,東沙叔,XXX,,,,環碧堂集,23911,2.1a,,
張邦奇,35,答朱允升,答Y書,朱允升,XXX,,,,環碧堂集,23911,2,hongsu: 2 people in cbdb don’t fit,
張邦奇,36,寄黃久菴,致書Y,黃綰,68258,,,,環碧堂集,23911,2,,
張邦奇,37,答倪汝新,答Y書,倪汝新,XXX,,,,環碧堂集,23911,2,,
張邦奇,38,與良甫弟,致書Y,良甫弟,XXX,,,,環碧堂集,23911,2,,
張邦奇,39,與朱侍御,致書Y,XXX,,,,,環碧堂集,23911,2,,
張邦奇,40,寄惲功甫憲副,致書Y,惲巍,131269,,,,環碧堂集,23911,2,,
張邦奇,41,復諸友請纂修實錄,答Y書,xxx,,,,,環碧堂集,23911,2,,
張邦奇,42,復周玉巗,答Y書,周廣,68082,,,,環碧堂集,23911,2,,
張邦奇,43,答友人,答Y書,XXX,,,,,環碧堂集,23911,2,,
張邦奇,44,與聞提學,致書Y,XXX,,,,,環碧堂集,23911,2,,
張邦奇,45,與馮子和,致書Y,馮世雍,131141,,,,環碧堂集,23911,2,,
張邦奇,46,寄友人,致書Y,XXX,,,,,環碧堂集,23911,2,,
張邦奇,47,答萬子冲,答Y書,萬子冲,XXX,,,,環碧堂集,23911,2,,
張邦奇,48,與魏郡侯及齋,致書Y,侯及齋,XXX,,,,環碧堂集,23911,2,,
張邦奇,49,與李介卿憲長,致書Y,李介卿,XXX,,,,環碧堂集,23911,2,,
張邦奇,50,答萬鹿園,答Y書,萬表,34166,2,,,環碧堂集,23911,2,,
張邦奇,51,寄萬鹿園,致書Y,萬表,34166,,,,環碧堂集,23911,2,,
張邦奇,52,與全汝禮吉士,致書Y,元立,127476,,,,環碧堂集,23911,2,,
張邦奇,53,復祝太守,答Y書,XXX,,,,,環碧堂集,23911,2,,
張邦奇,54,復徐飬齋,答Y書,徐問,30618,,,,環碧堂集,23911,2,,
張邦奇,55,答人柬,答Y書,XXX,,,,,環碧堂集,23911,2,,
張邦奇,56,復汪汝成,答Y書,汪玉,127505,7,,,環碧堂集,23911,2,,
張邦奇,57,與汪汝成,致書Y,汪玉,127505,,,,環碧堂集,23911,2,,
張邦奇,58,復豐生,答Y書,豐生,,,,,環碧堂集,23911,2,,
張邦奇,59,寄豐白菴,致書Y,豐白菴,XXX,,,,環碧堂集,23911,2,pkb: Qing person of this zi,
張邦奇,60,寄魏子才,致書Y,魏校,30595,11,,,環碧堂集,23911,2,,
張邦奇,61,寄王伯安,致書Y,王守仁,30374,,,,環碧堂集,23911,3.1a,,
張邦奇,62,寄易欽之,致書Y,易舒誥,128685,,,,環碧堂集,23911,3,,
張邦奇,63,答魏子才,答Y書,魏校,30595,,,,環碧堂集,23911,3,,
張邦奇,64,答汪汝成,答Y書,汪玉,127505,,,,環碧堂集,23911,3,,
張邦奇,65,答魏子才,答Y書,魏校,30595,,,,環碧堂集,23911,3,,
張邦奇,66,與魏子才,致書Y,魏校,30595,,,,環碧堂集,23911,3,,
張邦奇,67,寄汪汝成,致書Y,汪玉,127505,,,,環碧堂集,23911,3,,
張邦奇,68,與魏子才,致書Y,魏校,30595,,,,環碧堂集,23911,3,,
張邦奇,69,復魏子才,答Y書,魏校,30595,,,,環碧堂集,23911,3,,
張邦奇,70,復李仁仲大參,答Y書,李麟,134562,,,,環碧堂集,23911,3,,
張邦奇,71,寄董中峰,致書Y,董玘,123192,2,,,環碧堂集,23911,3,,
張邦奇,72,寄董老先生,致書Y,董老先生,,,,,環碧堂集,23911,3,,
張邦奇,73,寄潘有山先生,致書Y,潘有山,XXX,,,,環碧堂集,23911,3,,
張邦奇,74,復董鏡山,答Y書,董鏡山,XXX,,,,環碧堂集,23911,3,,
張邦奇,75,復陳朝儀,答Y書,陳朝儀,XXX,2,,,環碧堂集,23911,3,,
張邦奇,76,答魏子才,答Y書,魏校,30595,,,,環碧堂集,23911,3,,
張邦奇,77,寄湖廣省城兩學師生,致書Y,XXX,,,,,環碧堂集,23911,3,,
張邦奇,78,寄戴秉誠先生,致書Y,戴秉誠,XXX,,,,環碧堂集,23911,3,,
張邦奇,79,寄豐存禮,致書Y,豐坊,30211,,,,環碧堂集,23911,3,,
張邦奇,80,復葉生,答Y書,葉生,,,,,環碧堂集,23911,3,,
張邦奇,81,與陳朝儀,致書Y,陳朝儀,XXX,,,,環碧堂集,23911,3,,
張邦奇,82,寄魏子才,致書Y,魏校,30595,,,,環碧堂集,23911,4.1a,,
張邦奇,83,與汪汝成,致書Y,汪玉,127505,,,,環碧堂集,23911,4,,
張邦奇,84,寄汪汝成,致書Y,汪玉,127505,,,,環碧堂集,23911,4,,
張邦奇,85,寄魏子才,致書Y,魏校,30595,,,,環碧堂集,23911,4,,
張邦奇,86,柬董文玉,致書Y,董玘,123192,,,,環碧堂集,23911,4,,
張邦奇,87,寄魏子才,致書Y,魏校,30595,,,,環碧堂集,23911,4,,
張邦奇,88,與鄭伯興,致書Y,鄭傑,132400,,,,環碧堂集,23911,4,,
張邦奇,89,寄魏子才,致書Y,魏校,30595,,,,環碧堂集,23911,4,,
張邦奇,90,寄汝成,致書Y,汪玉,127505,,,,環碧堂集,23911,4,,
張邦奇,91,復張應韶舉人,答Y書,張應韶,XXX,,,,環碧堂集,23911,4,,
張邦奇,92,促本縣回文吏部,致書Y,XXX,,,,,環碧堂集,23911,4,,
張邦奇,93,寄人柬,致書Y,XXX,,,,,環碧堂集,23911,4,,
張邦奇,94,答余子積論太極圖,答Y書,余祐,128359,,,,環碧堂集,23911,4,,
張邦奇,95,寄魏子才,致書Y,魏校,30595,,,,環碧堂集,23911,4,,
